clause_text,risk
"8.5 Limitation of Liability. NO PARTY WILL BE LIABLE TO THE OTHER PARTY IN TORT, CONTRACT OR UNDER ANY OTHER LEGAL THEORY FOR ANY CONSEQUENTIAL, INDIRECT, INCIDENTAL, PUNITIVE OR SPECIAL LOSS OR DAMAGES ARISING OUT OF THIS AGREEMENT, EVEN IF APPRISED OF THE LIKELIHOOD OF SUCH DAMAGES OCCURRING. IN NO EVENT WILL IMNTV'S LIABILITY TO DISTRIBUTOR UNDER THIS AGREEMENT EXCEED THE AMOUNT ACTUALLY DUE TO IMNTV HEREIN.",High
"Notwithstanding anything herein to the contrary, AJR's liability under this Section 11 shall not exceed One Hundred Fifty Thousand Dollars ($150,000).",High
"Virtual hereby agrees to and does (a) waive any and all suits, actions, claims, losses, demands, damages, liabilities, costs, and reasonable expenses of every kind (including consequential, incidental, or punitive damages, or lost profits), including court costs and reasonable attorneys' fees (collectively, Claims) Virtual may have now or in the future against Forty Niners SC, its Affiliates, the National Football League, SCSA, and any of their respective officers, directors, employees, agents, insurers, and assigns (collectively, the Indemnitees) for damage to or destruction of Virtual's property, excepting only claims caused by the gross negligence or willful misconduct of an Indemnitee; (b) fully compensate Forty Niners SC, the SCSA, and their respective Affiliates (Indemnitees) for damage to or destruction of their tangible property caused by, resulting from, or arising out of Virtual's negligence or willful misconduct under this Agreement; omitted",Low
"6.00 SUBJECT TO AND EXCEPT FOR ANY INDEMNIFICATION OBLIGATIONS UNDER ARTICLE 3.09 ABOVE, NOTHING IN THIS IP AGREEMENT WILL BE DEEMED TO BE A REPRESENTATION OR WARRANTY BY COMPANY OF THE ACCURACY, SAFETY OR USEFULNESS FOR ANY PURPOSE OF ANY TECHNICAL INFORMATION, TECHNIQUES, OR PRACTICES AT ANY TIME MADE AVAILABLE BY COMPANY. COMPANY WILL HAVE NO LIABILITY WHATSOEVER TO INVESTOR OR ANY OTHER PERSON FOR OR ON ACCOUNT OF ANY INJURY, LOSS OR DAMAGE OF ANY KIND OR NATURE, SUSTAINED BY, OR ANY DAMAGES ASSESSED OR ASSERTED AGAINST, OR ANY OTHER LIABILITY INCURRED BY OR IMPOSED ON INVESTOR OR ANY OTHER PERSON, ARISING OUT OF OR IN CONNECTION WITH OR RESULTING FROM: (A) THE PRODUCTION, USE OR SALE OF ANY APPARATUS OR PRODUCT OR METHOD, OR THE PRACTICE OF THE PATENTS BY INVESTOR OR ITS ASSIGNS; (B) THE USE BY INVESTOR OR ITS ASSIGNS OF ANY TECHNICAL INFORMATION, TECHNIQUES, OR PRACTICES DISCLOSED BY COMPANY; OR (C) ANY ADVERTISING OR OTHER PROMOTIONAL ACTIVITIES BY INVESTOR OR ITS ASSIGNS WITH RESPECT TO ANY OF THE FOREGOING, AND INVESTOR WILL HOLD COMPANY, AND ITS OFFICERS, EMPLOYEES AND AGENTS, HARMLESS IN THE EVENT COMPANY, OR ITS OFFICERS, EMPLOYEES OR AGENTS, IS HELD LIABLE.",Low
"Disclaimer of Warranties. UNLESS SPECIFIED OTHERWISE HEREIN (INCLUDING BUT NOT LIMITED TO THE BACK TO BACK WARRANTY SPECIFIED IN SECTION 6.5) AND WITHOUT LIMITATION TO ANY WARRANTY WHICH SUPPLIER MAY, IN ITS SOLE DISCRETION, MAKE TO ANY CUSTOMER AND/OR END USER, THE PRODUCTS ARE PROVIDED ON AN AS IS AND AS AVAILABLE BASIS, AND SUPPLIER DOES NOT MAKE ANY WARRANTIES, EXPRESS OR IMPLIED, WITH RESPECT TO THE PRODUCTS OR ITS OPERATION THEREOF, MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.",Low
"NO PARTY SHALL BE LIABLE FOR CONSEQUENTIAL, INCIDENTAL, PUNITIVE, EXEMPLARY OR INDIRECT DAMAGES, LOST PROFITS OR OTHER BUSINESS INTERRUPTION DAMAGES, BY STATUTE, IN TORT OR CONTRACT, OR OTHERWISE; PROVIDED, HOWEVER, THAT THIS LIMITATION SHALL NOT LIMIT A PARTY'S RIGHT TO RECOVERY HEREUNDER FOR ANY SUCH DAMAGES TO THE EXTENT SUCH PARTY IS REQUIRED TO PAY SUCH DAMAGES TO A THIRD PARTY IN CONNECTION WITH A MATTER FOR WHICH SUCH PARTY IS OTHERWISE ENTITLED TO INDEMNIFICATION HEREUNDER. THE LIMITATIONS IMPOSED ON REMEDIES AND THE MEASURE OF DAMAGES SHALL BE WITHOUT REGARD TO THE CAUSE OR CAUSES RELATED THERETO, INCLUDING THE NEGLIGENCE OF ANY PARTY, WHETHER SUCH NEGLIGENCE BE SOLE, JOINT OR CONCURRENT, OR ACTIVE OR PASSIVE.",Low
"(b) Limitation of Liability. IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INDIRECT, EXEMPLARY OR CONSEQUENTIAL DAMAGES ARISING OUT OF THIS AGREEMENT OR PURCHASE OR USE OF THE PRODUCTS. 10. FORCE MAJEURE. Neither Party shall be held liable for any failure to perform that is due to any cause or circumstance beyond the reasonable control of such Party, including without limitation a demand for such Products and other products manufactured by Company which exceeds Company's ability to supply them, earthquakes, fire, accidents, floods, storms, other Acts of God, riots, wars, rebellions, strikes, lockouts or other labor disturbances, national or international emergencies, failure to secure materials or equipment from usual sources of supply, failure of carriers to furnish transportation, government rules, regulations, acts, orders, world financial crisis, restrictions or requirements or any other cause or circumstance beyond the reasonable control of such Party. No such inability to deliver or delay in delivery shall invalidate the remainder of this Agreement.",Low
"The rights, duties, obligations and liabilities of the Parties shall be separate, not joint or collective. Each Party shall be responsible only for its obligations as herein set out and shall be liable only for its share of the costs and expenses as provided herein.",Low
"Section 7.01. Limitation on Liability. Without limiting the terms set forth in Section 6.09 of the Separation Agreement, none of Honeywell, SpinCo or any other member of either Group shall in any event have any Liability to the other or to any other member of the other's Group under this Agreement for any indirect, special, punitive or consequential damages, whether or not caused by or resulting from negligence or breach of obligations hereunder and whether or not informed of the possibility of the existence of such damages.",Low
"7.2. Disclaimer. LICENSEE HEREBY ACKNOWLEDGES AND AGREES THAT EXCEPT AS EXPRESSLY SET FORTH HEREIN OR IN THE SHARE PURCHASE AGREEMENT, THE LICENSED DOMAIN NAMES AND THE LICENSED CONTENT ARE PROVIDED WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING WITHOUT LIMITATION, WARRANTIES OF MERCHANTABILITY, VALIDITY, NONINFRINGEMENT, FITNESS FOR A PARTICULAR PURPOSE OR OTHER WARRANTIES, WHETHER EXPRESS OR IMPLIED, AND LICENSOR HEREBY DISCLAIMS ANY AND ALL SUCH WARRANTIES.",Low
"In no event will NFLA be liable for any indirect, incidental, reliance, special or consequential damages arising out of the performance or nonperformance of this Agreement, whether or not NFLA had been advised of the possibility of such damages.",Low
"29.0 LIMITATION OF LIABILITY 29.1 Neither Party shall be liable to the other for any special, indirect, incidental, consequential, punitive or exemplary damages, including, but not limited to, lost profits, even if such Party alleged to be liable has knowledge of the possibility of such damages, provided, however, that the limitations set forth in this Section shall not apply to or in any way limit the obligations of the Section entitled Indemnity, the Section entitled Confidentiality and Information Protection, or Supplier's gross negligence or willful misconduct.",Low
"(b) THE MATERIALS PROVIDED TO INSTITUTION BY LBIO ARE PROVIDED BY LBIO ON AN AS IS BASIS. LBIO HEREBY DISCLAIMS ANY WARRANTIES, EXPRESS OR IMPLIED, CONCERNING THE MATERIALS, INCLUDING ANY WARRANTIES OF TITLE, INFRINGEMENT, MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE. NO OFFICER, EMPLOYEE, AGENT OR REPRESENTATIVE OF LBIO HAS ANY AUTHORITY TO BIND LBIO TO ANY AFFIRMATION, REPRESENTATION OR WARRANTY CONCERNING THE MATERIALS, EXCEPT AS SET EXPRESSLY FORTH HEREIN. THE MATERIALS PROVIDED TO LBIO BY INSTITUTION ARE PROVIDED BY INSTITUTION ON AN AS IS BASIS. INSTITUTION HEREBY DISCLAIMS ANY WARRANTIES, EXPRESS OR IMPLIED, CONCERNING THE MATERIALS, INCLUDING ANY WARRANTIES OF TITLE, INFRINGEMENT, MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE. NO OFFICER, EMPLOYEE, AGENT OR REPRESENTATIVE OF INSTITUTION HAS ANY AUTHORITY TO BIND INSTITUTION TO ANY AFFIRMATION, REPRESENTATION OR WARRANTY CONCERNING THE MATERIALS, EXCEPT AS SET EXPRESSLY FORTH HEREIN.",Low
"9.15 DISCLAIMER OF SPECIAL DAMAGES. NEITHER LBIO NOR MD ANDERSON, NOR ANY OF THEIR AFFILIATES, NOR ANY OF THEIR RESPECTIVE DIRECTORS, OFFICERS, MEMBERS OR EMPLOYEES, SHALL HAVE ANY LIABILITY OF ANY TYPE, FOR ANY SPECIAL, PUNITIVE, INCIDENTAL, INDIRECT OR CONSEQUENTIAL DAMAGES, INCLUDING THE LOSS OF OPPORTUNITY, LOSS OF USE, OR LOSS OF REVENUE OR PROFIT, IN CONNECTION WITH OR ARISING OUT OF THIS AGREEMENT OR ANY STUDY ORDER; PROVIDED, THAT, THE FOREGOING DISCLAIMER SHALL NOT APPLY WITH RESPECT TO (1) A PARTY'S INDEMNIFICATION OBLIGATIONS, (2) A PARTY'S BREACH OF ITS OBLIGATIONS UNDER THIS AGREEMENT WITH RESPECT TO CONFIDENTIALITY AND NON-USE OR INTELLECTUAL PROPERTY-RELATED MATTERS OR (3) A PARTY'S GROSS NEGLIGENCE OR WILLFUL MISCONDUCT.",Low
"(a) FASC shall not be responsible for any error of judgment or mistake of law or for any loss suffered by the Advisor or any Account in connection with the matters to which this Agreement relates, except a loss resulting from willful malfeasance, bad faith or gross negligence on its part in the performance of its duties or from reckless disregard by it of its obligations and duties under this Agreement.",Low
"(E) make no representations, warranties or guarantees to customers or to the trade with respect to the specifications, features or capabilities of the Wireless Products that are inconsistent with the warranties and disclaimers included in or with the Wireless Products",Low
"11. Entire Agreement. This Agreement contains the entire agreement between the parties hereto and supersedes any and all prior agreements, arrangements, or understandings between the parties relating to the subject matter of this Agreement. No oral understandings, statements, promises, or inducements contrary to the terms of this Agreement exist. No representations, warranties, covenants, or conditions express or implied, other than as set forth herein, have been made by any party.",Low
"8.2 Limitation on Damages In no event shall either party be liable for any special, incidental, or consequential damages arising out of or in connection with this Agreement or the performance thereof. FNW's liability for any breach of this Agreement shall be strictly limited to refunding to Sponsor that portion of any consideration paid by Sponsor for which Sponsor has not received the rights granted to it herein.",Medium
"18. Limitations of Liability. EXCEPT AS PROVIDED IN PARAGRAPH 15, WGT'S LIABILITY(WHETHER IN CONTRACT, WARRANTY, TORT (INCLUDING NEGLIGENCE WHETHER ACTIVE, PASSIVE, IMPUTED), PRODUCT LIABILITY, STRICT LIABILITY OR OTHER THEORY) UNDER THIS AGREEMENT OR WITH REGARD TO ANY PRODUCT OR OTHER ITEMS FURNISHED UNDER THIS AGREEMENT WILL IN NO EVENT EXCEED THE COMPENSATION PAID TO WGT CONCERNING SUCH PRODUCT UNDER THIS AGREEMENT.",High
"5.4. Notwithstanding any other provision of this Agreement, each party's total liability in respect of damages under this Agreement, any regulation or common law shall be limited to the sum of all amounts received from Client in terms of this Agreement; provided, however, that this limitation shall not apply with respect to any claims arising out of or relating to clause 6 (Inventions and Proprietary Information), indemnification obligations or damages arising from a party's gross negligence or willful misconduct. 5.5. Neither Party shall be liable to the other Party in respect of any indirect loses or damaged, pure economic nature, loss of profits or income howsoever arising.",High
"5. Sponsor's Maximum Obligation; Indemnification. Racing represents to the Sponsor that the Sponsor's aggregate obligation hereunder will not exceed the amount of the sponsorship fee set forth in Section 3 hereof (or such lesser amount as is payable by the Sponsor in the event that this Agreement is terminated pursuant to Section 14 hereof), plus, if applicable, collection costs that may be reasonably incurred by Racing in a legal proceeding to collect all or any part thereof (the Maximum Obligation). Racing agrees to indemnify the Sponsor and its officers, directors, agents and employees and to hold them harmless from any loss, claim, cost, damage or liability in excess of the Maximum Obligation which (i) the Sponsor shall incur as a result of this Agreement, or (ii) arises from any failure by Racing to perform any of its obligations hereunder.",High
"The parties agree that PageMaster Corporation shall not be liable for service interruptions in the telecommunications industry, capacity constraints or related problems, or for any act or omission of any other entity furnishing products or services to PageMaster Corporation. PageMaster Corporations' liability shall in no event exceed an amount equivalent to the amounts received by PageMaster Corporation hereunder.",High
"10. INDEMNITIES. omitted WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW, SECTION 10, OR THE RESPECTIVE OBLIGATIONS OF THE PARTIES UNDER THE CONFIDENTIAILITY AGREEMENT AND EXCEPT FOR BREACHES ASSOCIATED WITH THE UNAUTHORIZED USE OF INTELLECTUAL PROPERTY, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR TORT DAMAGES, INCLUDING WITHOUT LIMITATION, ANY DAMAGES RESULTING FROM LOSS OF USE, LOSS OF DATA, LOSS OF PROFITS OR LOSS OF BUSINESS ARISING OUT OF OR IN CONNECTION WITH THE MATTERS CONTEMPLATED BY THIS AGREEMENT, WHETHER OR NOT A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. omitted 11.3. Liability Cap. Without affecting Section 10 or the respective obligations of the parties under the Confidentiality Agreement and except for any liability (i) relating to any breach associated with the unauthorized use of Intellectual Property, (ii) arising from the intentional breach or willful misconduct of a party, or (iii) arising from the non-compliance with any mandatory applicable law or regulation, the total aggregate liability of one party to another party for any claim relating to any breach of this Agreement (or any Purchase Order or other agreement entered into in connection with this Agreement) (a Claim) shall be limited to the aggregate amount of the purchase prices paid by Distributor to Accuray for Products pursuant to this Agreement (or any Purchase Order or other Agreement entered into in connection with this Agreement) during the twelve calendar months preceding the date of the notification to the other party of such Claim less any amounts paid or payable in respect of any other Claim of which the other party was notified during such twelve month period.",Low
