clause_text,clause_type,risk
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT,Document Name,Low
"INTEGRITY INCORPORATED (""Integrity""); TIME LIFE, INC. d/b/a Time Life Music (""TL"")",Parties,Low
1/10/00,Agreement Date,Low
12/31/04,Expiration Date,Low
Tennessee,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Audit Rights,Medium
Yes,Covenant Not To Sue,Low
ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT,Document Name,Low
"Marine MP, LLC (“Lender”); Arnold Schwarzenegger (“Endorser”); Fitness Publications, Inc. (“Fitness”); Lender, Endorser and Fitness (“AS Parties”);  MusclePharm Corporation (""MusclePharm"" or ""Company"")",Parties,Low
7/26/13,Agreement Date,Low
7/26/13,Effective Date,Low
7/22/16,Expiration Date,Low
7/22/2019; 7/22/2022,Renewal Term,Low
California,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
CO-BRANDING AGREEMENT,Document Name,Low
"Skype Communications, S.A. (""Skype""); Skype Technologies, S.A. (""Skype Holding""); TOM Online (BVI) limited(""Online BVI""); TOM Online Inc. (""Tom Holding""); Tel Online Limited (""Company""). Skype, Online BVI and the Company (“Party” and collectively as “Parties.”); Skype, Online BVI, the Company, Skype Holding and Tom Holding (“party to this Agreement” and collectively as “parties to this Agreement.”)",Parties,Low
8/22/05,Agreement Date,Low
8/22/05,Effective Date,Low
8/22/10,Expiration Date,Low
3 years,Renewal Term,Low
"England, United Kingdom; Wales, United Kingdom",Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
DEVELOPMENT AGREEMENT,Document Name,Low
"Howmedica Ostenonics Corp. (""Stryker""); Conformis, Inc. (""Conformis""); Stryker and Conformis (“Parties” and   individually as a “Party.”)",Parties,Low
9/30/19,Agreement Date,Low
9/30/19,Effective Date,Low
New York,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensee,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,Document Name,Low
"Eton Pharmaceuticals, Inc. (“ETON”); Aucta Pharmaceuticals, Inc.(“Aucta”)",Parties,Low
6/12/19,Agreement Date,Low
9/2/19,Effective Date,Low
Perpetual,Expiration Date,Low
Delaware,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
JOINT DEVELOPMENT AGREEMENT,Document Name,Low
"ExxonMobil Research and Engineering Company (“ExxonMobil”); FuelCell Energy, Inc. (“FCE”)",Parties,Low
11/5/19,Agreement Date,Low
10/31/19,Effective Date,Low
10/31/21,Expiration Date,Low
New York,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
RECIPE DEVELOPMENT AGREEMENT,Document Name,Low
"Reed's, Inc. (""Reed's""); BC Marketing Concepts Inc., dba Full Sail Brewing Company (""Company"")",Parties,Low
10/11/19,Agreement Date,Low
10/11/19,Effective Date,Low
New York,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
Distributorship agreement,Document Name,Low
"Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC",Parties,Low
3/29/18,Agreement Date,Low
3/29/19,Expiration Date,Low
perpetual,Renewal Term,Low
Ohio,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")",Parties,Low
8/1/19,Agreement Date,Low
8/1/19,Effective Date,Low
8/1/22,Expiration Date,Low
3 years,Renewal Term,Low
Florida,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Exclusivity,Medium
Yes,No-Solicit Of Customers,Medium
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Covenant Not To Sue,Low
NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,Low
"iMine Corporation (""JRVS""); SUNWAI Technology (""Distributor"")",Parties,Low
7/19/18,Agreement Date,Low
7/19/18,Effective Date,Low
7/19/20,Expiration Date,Low
Indiana,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Covenant Not To Sue,Low
EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,Low
"Erchonia Corporation (""Erchonia""); InnerScope Hearing Technologies Inc (""Distributor"")",Parties,Low
3 years,Renewal Term,Low
Florida,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,Low
"WATER NOW, INC.; (""Water Now""); Hydraspin USA, Inc. (""Subsidiary"", collectively with Water Now, ""Hydraspin""); BESTEV MANAGEMENT, LLC (""Distributor""); Hydraspin and Distributor (“Party” and collectively as the “Parties.”)",Parties,Low
11/12/19,Agreement Date,Low
11/12/19,Effective Date,Low
11/12/24,Expiration Date,Low
successive 5 year,Renewal Term,Low
Texas,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
ENDORSEMENT AGREEMENT ADDENDUM I,Document Name,Low
"National Football League Alumni - Northern California Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./ Gridiron Gridiron BioNutrients™ (collectively, the ""Company"")",Parties,Low
11/7/17,Agreement Date,Low
11/7/17,Effective Date,Low
Yes,Revenue/Profit Sharing,Low
ENDORSEMENT AGREEMENT,Document Name,Low
"Eco Science Solutions, Inc (""ESSI""); Stephen Marley (""Talent"")",Parties,Low
11/14/17,Agreement Date,Low
11/14/17,Effective Date,Low
11/14/18,Expiration Date,Low
successive 1 year,Renewal Term,Low
Michigan,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
COLLABORATION & ENDORSEMENT AGREEMENT,Document Name,Low
"The Naked Brands Group, Inc (""Naked""); Wade Enterprises, LLC (""Wade Enterprises""); f/s/o Dwayne Wade (""Athlete"" and together with Wade Enterprises (collectively, ""Wade""); Wade Enterprises, Athlete and togetherwith Naked, (“Party” and collectively, the “Parties”)",Parties,Low
6/15/15,Agreement Date,Low
6/15/15,Effective Date,Low
6/15/19,Expiration Date,Low
three (3) years,Renewal Term,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Volume Restriction,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Unlimited/All-You-Can-Eat-License,Low
Yes,Post-Termination Services,Medium
GAS FRANCHISE AGREEMENT,Document Name,Low
"TOWN OF VINTON, VIRGINIA (""Grantor""); ROANOKE GAS COMPANY (""Grantee"")",Parties,Low
11/17/15,Agreement Date,Low
1/1/16,Effective Date,Low
1/1/36,Expiration Date,Low
Yes,Revenue/Profit Sharing,Low
MASTER FRANCHISE AGREEMENT,Document Name,Low
"Smaaash Entertainment Private Limited (""Franchisor""); I-AM Capital Acquisition Company (""Franchise"")",Parties,Low
11/20/18,Agreement Date,Low
11/20/18,Effective Date,Low
perpetual,Expiration Date,Low
New York,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Audit Rights,Medium
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
"Website Design, Development and Hosting Agreement",Document Name,Low
"FreeCook (""Client""); Mitchell's Web Advance, PLC (""Company"")",Parties,Low
1/11/18,Agreement Date,Low
5/3/18,Expiration Date,Low
Yes,Termination For Convenience,High
Yes,License Grant,Low
MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT,Document Name,Low
"Elephant Talk Communication Holding AG (""ELEPHANT TALK""); T-Mobile Netherlands B.V. (""T-Mobile"")(""Party"" and together as ""Parties"")",Parties,Low
9/18/08,Agreement Date,Low
9/18/08,Effective Date,Low
Netherlands,Governing Law,Low
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
SERVICES AND HOSTING AGREEMENT,Document Name,Low
"VITALIBIS INC (""Licensee""); VOTOCAST, Inc. (""VOTOCAST"")",Parties,Low
3/14/18,Agreement Date,Low
3/14/18,Effective Date,Low
3/14/19,Expiration Date,Low
Successive 1 year,Renewal Term,Low
California,Governing Law,Low
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
e-business Hosting Agreement,Document Name,Low
"International Business Machines Corporation (""IBM”); The Quantum Group Inc. (""Customer"")",Parties,Low
12/2/08,Agreement Date,Low
12/3/08,Effective Date,Low
12/3/11,Expiration Date,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
"INTELLECTUAL PROPERTY AGREEMENT, d",Document Name,Low
"NUANCE COMMUNICATIONS, INC (""Nuance""); CERENCE INC. (""SpinCo"")",Parties,Low
9/30/19,Agreement Date,Low
Delaware,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
"INTELLECTUAL PROPERTY AGREEMENT, d",Document Name,Low
"HONEYWELL INTERNATIONAL INC. (""Honeywell""); GARRETT MOTION INC. (""SpinCo"")",Parties,Low
9/27/18,Agreement Date,Low
9/27/18,Effective Date,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
INTELLECTUAL PROPERTY RIGHTS AGREEMENT,Document Name,Low
"Synchron (""Investor""); Rare Element Resources Ltd. (""Company"")",Parties,Low
10/2/17,Agreement Date,Low
New York,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
SPONSORED RESEARCH AND LICENSE AGREEMENT,Document Name,Low
"Artara Therapeutics, Inc. (""ArTara"",""ArTara, Inc.""); The University of Iowa (""University"")",Parties,Low
11/28/18,Agreement Date,Low
11/28/18,Effective Date,Low
Iowa,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
MEDIA LICENSE AGREEMENT,Document Name,Low
"NATIONAL FOOTBALL MUSEUM, INC. d/b/a Pro Football Hall of Fame (""PFHOF""); HOF Village, LLC (""Village Media Company""); HOF Village, LLC (""HOFV"")",Parties,Low
12/31/34,Expiration Date,Low
successive 5 years,Renewal Term,Low
Ohio,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Covenant Not To Sue,Low
COMMERCIALIZATION AND LICENSE AGREEMENT,Document Name,Low
"Vyera Pharmaceuticals, LLC ('Vyera""); CytoDyn Inc. (""CytoDyn""); CytoDyn and Vyera (“Party” and collectively as the “Parties.”)",Parties,Low
12/17/19,Agreement Date,Low
12/17/19,Effective Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,Document Name,Low
"The John Hopkins University (""JHU""); Virtuoso Surgical, Inc. (""Company"")",Parties,Low
5/3/16,Agreement Date,Low
5/11/16,Effective Date,Low
Maryland,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Network Build and Maintenance Agreement,Document Name,Low
"Commnet Wireless, LLC (""Vendor""); AT&T Mobility LLC (""AT&T"") (""Party"" or in the plural as the ""Parties."")",Parties,Low
7/31/19,Agreement Date,Low
7/31/19,Effective Date,Low
New York,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
Yes,Third Party Beneficiary,Low
MASTER OPERATION AND MAINTENANCE AGREEMENT,Document Name,Low
"BLOOM ENERGY CORPORATION (“BE” or, in its capacity as operator hereunder, “Operator”); DIAMOND STATE GENERATION PARTNERS, LLC (""Owner"")",Parties,Low
4/13/12,Agreement Date,Low
New York,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
SOFTWARE MAINTENANCE AGREEMENT,Document Name,Low
"Leader Act Ltd (“LEADER”); EZJR, Inc. (“EZJR”);",Parties,Low
10/13/16,Agreement Date,Low
10/13/21,Expiration Date,Low
Nevada,Governing Law,Low
TURN - KEY MANUFACTURING AGREEMENT,Document Name,Low
"INVASIX LTD. (""Customer""); FLEXTRONICS ISRAEL LTD. (""Contractor"");",Parties,Low
4/1/11,Effective Date,Low
4/1/12,Expiration Date,Low
successive 1 year,Renewal Term,Low
Israel,Governing Law,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products),Document Name,Low
"Dong-A ST Co., Ltd. (""Dong-A""); NeuroBo Pharmaceuticals, Inc. (""NeuroBo"")",Parties,Low
9/28/18,Agreement Date,Low
9/28/18,Effective Date,Low
New York,Governing Law,Low
Yes,Audit Rights,Medium
Yes,Warranty Duration,Low
PRODUCT MANUFACTURING AGREEMENT,Document Name,Low
"DEXCEL LTD. (""Dexcel""); KITOV Pharma Ltd. (""Kitov"")(""Parties"" and individually a ""Party"")",Parties,Low
Israel,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
MANUFACTURING AND SUPPLY AGREEMENT,Document Name,Low
"Pifzer Inc. (""Manufacturer""); Upjohn Inc. (""Customer"")(""Party"" or collectively as the ""Parties"")",Parties,Low
[]/[]/[][],Agreement Date,Low
[]/[]/[][],Effective Date,Low
3 successive 1 year,Renewal Term,Low
Delaware,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensor,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
WHOLESALE MARKETING AGREEMENT,Document Name,Low
"ALPS Distributors, Inc. (the “Distributor”); S2K Financial LLC (“S2K”);",Parties,Low
8/24/18,Agreement Date,Low
8/24/18,Effective Date,Low
perpetual,Expiration Date,Low
Colorado,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Cap On Liability,High
LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2),Document Name,Low
MediaCo Holding Inc. (“Licensee”); WBLS-WLIB LLC (“Programmer”),Parties,Low
11/25/19,Agreement Date,Low
11/25/19,Effective Date,Low
12/31/22,Expiration Date,Low
Indiana,Governing Law,Low
Yes,Anti-Assignment,High
Yes,License Grant,Low
MARKETING AND RESELLER AGREEMENT,Document Name,Low
"Todos Medical Ltd. (""Todos""); Care G. B. Plus Ltd. (""Reseller"")",Parties,Low
12/20/18,Agreement Date,Low
12/20/18,Effective Date,Low
12/20/23,Expiration Date,Low
5 years; 2 years,Renewal Term,Low
Israel,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
JOINT SUPPLY AND MARKETING AGREEMENT,Document Name,Low
"Bunker One (USA) Inc. (""Bunker One""); Vertex Energy Operating LLC (""Vertex"")",Parties,Low
1/10/20,Agreement Date,Low
5/1/20,Effective Date,Low
4/30/29,Expiration Date,Low
successive 5 years,Renewal Term,Low
Alabama,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
PRODUCT SALE AND MARKETING AGREEMENT,Document Name,Low
"Calm.com, Inc. (""Calm""); XpresSpa Group, Inc. (""XPSA"")(""Party"" and collectively as the ""Parties"")",Parties,Low
11/12/18,Agreement Date,Low
11/12/18,Effective Date,Low
7/31/19,Expiration Date,Low
successive 6 months,Renewal Term,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
